Host   Node   Slot  Product  Version   Location
  358  10446   2       TRSW   12.43    ROCKVILLE,MD
  360   3617   1       ACOM  103.01    ELMHURST,IL
  361  11364   1       XCOM  104.03    ROCKVILLE,MD
  362   2471   0        TII  105.22    NEW YORK,NY
  362   2471  FF       I2IS    7.03    NEW YORK,NY
  363   7716   1       TRSW   12.43    ROCKVILLE,MD
  365  10445   4       XCOM    0.00    ROCKVILLE,MD
  366   2576   3       MSRV  103.03    FAIRFAX,VA
  366   3512   2       MSRV  103.03    NEW YORK,NY
  367   2041   1       ACOM    2.03    NILES,IL
  368  12322   2       ISCS  106.03    NEW YORK,NY
  369  10553   1       ISCS  107.02    ABERDEEN,
  371   2151   2       XCOM    0.00    LODI,CA
  372   2151   2       XCOM    0.0LODI,CA
  376   5565   3       XCOM  104.03    ST. LOUIS,MO
  377  11371  FF       I2IS   11.33    SANTA BARBARA,CA
  377  11371   0        TII  105.35    SANTA BARBARA,CA
  378  11372   0        TII  105.35    SANTA BARBARA,CA
  378  11372  FF       I2IS    7.03    SANTA BARBARA,CA
  379  12512   2       XCOM  104.03    MIAMI,FL
  382   2035  FF       I2IS    7.03    FAIRFAX,VA
Host   Node   Slot  Product  Version   Location
  382   2035   0        TII  105.35    FAIRFAX,VA
  383  11371   1       ISCS    6.40    SANTA BARBARA,CA
  384  11234   2       XCOM  104.03    OKLAHOMA CITY,OK
  385   2223  FF       I2IS    7.04    GLEN ELLYN,IL
  385   2223   0        TII  105.22    GLEN ELLYN,IL
  386   4602   3       XCOM  104.03    ST. LOUIS,MO
  387   5647   2       ACOM  103.01    SAN DIEGO,CA
  388   6714   2       XCOM  104.03    BROOKFIELD,WI
  389  12052  FF       I2IS    7.03    CORPUS CHRISTI,TX
  389  12052   0        TII  105.35    CORPUS CHRISTI,TX
  391   7674   1       XCOM  104.03    NEW YORK,NY
  393   7035   1       ACOM    2.03    TACOMA,WA
  394  11410   3       XCOM  104.03    NEW YORK,NY
  395   2135   2       XCOM  104.03    PISCATAWAY,NJ
  398   2111   1       XCOM  104.03    NEW YORK,NY
  400  12146   1       SNAH    6.03    CLEVELAND,OH
  401   2337   1       TMCS    0.00    NORRISTOWN,PA
  402  12146   2       CMTI  107.04    CLEVELAND,OH
  406  12052   2       XCOM  104.03    CORPUS CHRISTI,TX
  407   4416   3      TINET    3.04    INDIANAPOLIS,IN
  408   3465   2       XCOM  104.03    FRANKFURT,
  409   4400   1      TINET    3.04    KALAMAZOO,MI
  410  11710   8       XCOM    0.00    NEW YORK,NY
  411   5113   4       XCOM  104.03    GLEN ELLYN,IL
  412   2362  FF       I2IS    7.03    MADISON,WI
  412   2362   0        TII  105.35    MADISON,WI
  413  11331   1       ISCS    6.40    RICHMOND,VA
  413   6367   1       ISCS    6.40    RICHMOND,VA
  414   6100   4       XCOM  104.03    NEWARK,NJ
  415   2362   2       XCOM  104.03    MADISON,WI
  416  11376  FF       I2IS   11.33    NEW ORLEANS,LA
  416  11376   0        TII  105.35    NEW ORLEANS,LA
  417  11377  FF       I2IS    7.03    COLUMBUS,OH
  417  11377   0        TII  105.35    COLUMBUS,OH
  418  11400  FF       I2IS    7.03    COLUMBUS,OH
  418  11400   0        TII  105.22    COLUMBUS,OH
  419   2362   3       CMTI  107.04    MADISON,WI
  420  10330   2        MUX    0.00    DALLAS,TX
  422  11403  FF       I2IS    7.03    COLUMBUS,OH
  422  11403   0        TII  105.35    COLUMBUS,OH
  423  11404   0        TII  105.10    TWINSBURG,OH
  423  11404  FF       I2IS    7.03    TWINSBURG,OH
  425  11404   2       SNAH    1.04    TWINSBURG,OH
  426  11404   3       CMTI  103.00    TWINSBURG,OH
  427  11404   1       ACOM    2.03    TWINSBURG,OH
  428  12302   2       XCOM    0.00    SAVANNAH,GA
  429   2131   2       XCOM  104.03    NEWARK,NJ
  430  11405  FF       I2IS    0.00    MARLBOROUGH,MA
  432  11405   1       ISCS    0.00    MARLBOROUGH,MA
  433  11322   1       ISCS    6.40    MARTINEZ,GA
  434   5320   2        PBH  107.05    CLEVELAND,OH
  435   7125   0        TII  105.35    ST.-CLOUD,
  435   7125  FF       I2IS    7.03    ST.-CLOUD,
  436   7125   1       ACOM    3.01    ST.-CLOUD,
  437   4420   2       XCOM  104.03    SAN ANTONIO,TX
  438   2131   3    UNREPOR  103.03    NEWARK,NJ
  439   3310   1       ACOM  103.01    SANTA CLARA,CA
  440   3454   1       XCOM  104.03    CROYDON,
  441  10020   2       XCOM  104.03    HOUSTON,TX
Host   Node   Slot  Product  Version   Location
  442  11710   9       XCOM    0.00    NEW YORK,NY
  444   7135  FF        TII    0.00    AMSTERDAM,
  445   5607   0        TII  105.22    MADRID,
  445   5607  FF       I2IS    7.04    MADRID,
  446   4046   0        TII  105.35    COLTON,CA
  446   4046  FF       I2IS   11.33    COLTON,CA
  447   4214  FF       I2IS    7.03    COLTON,CA
  447   4214   0        TII  105.35    COLTON,CA
  448   7771   2       XCOM  104.03    NEWARK,NJ
  450   4451   1       ACOM  103.01    ALEXANDRIA,VA
  451   3242   4       XCOM  104.03    DURHAM,NC
  452  12645   1       SNAH    3.03    VERNON,CA
  453  11071   2       XCOM  104.03    GREENVILLE,SC
  454   6731   1       CMTI  107.04    VERNON,CA
  455   5754   1       ACOM    3.01    TULSA,OK
  456   2160   2       XCOM  104.03    DALLAS,TX
  458   7634   1       XCOM  104.03    LEXINGTON,KY
  459  10166  FF       I2IS    7.03    HAMBURG,
  459  10166   0        TII  105.22    HAMBURG,
  460   4716   1        PBH  112.04    FAIRFAX,VA
